species	current_status
Crocidura nanilla	LC
Crocidura negligens	LC
Crocidura negrina	EN
Crocidura newmarki	NT
Crocidura nicobarica	CR
Crocidura nigeriae	LC
Crocidura nigricans	LC
Crocidura nigripes	LC
Crocidura nigrofusca	LC
Crocidura nimbae	NT
Crocidura ninoyi	DD
Crocidura niobe	LC
Crocidura obscurior	LC
Crocidura olivieri	LC
Crocidura orientalis	LC
Crocidura orii	EN
Crocidura pachyura	LC
Crocidura palawanensis	LC
Crocidura panayensis	DD
Crocidura paradoxura	LC
Crocidura parvipes	LC
Crocidura pasha	LC
Crocidura pergrisea	DD
Crocidura phaeura	EN
